input_snr_db,condition,clean_name,noise_type,metric,model_count,input_mean,input_std_models,output_mean,output_std_models,output_median,output_min,output_max
10,la_normal,la,normal,spectral_distortion_db,10,15.223646257885354,0.0,6.509162436373385,0.1416511279503711,6.46322990829695,6.278586409239474,6.763736791994139
10,la_truck,la,truck,snr,10,9.999999837927332,0.0,12.120203699252496,0.11718789139029111,12.084455588583452,11.997067795315095,12.356061045315531
10,la_truck,la,truck,correlation,10,0.9548117937181534,0.0,0.9673342690259007,0.0007952081426984119,0.9673605135194157,0.9657002500050808,0.9687419939002253
10,la_truck,la,truck,nrmse,10,0.3162277703510158,0.0,0.2533272891264898,0.0031686845803108534,0.2540365129633304,0.24721675535325627,0.2576380193714208
10,la_truck,la,truck,spectral_distortion_db,10,12.738609871716935,0.0,6.247834816111392,0.13627442898907022,6.2312511020902654,5.959742790215083,6.456109204244115
10,jian_normal,jian,normal,snr,10,9.999999098187745,0.0,11.49775217609637,0.7427529519971909,11.693733567117125,10.265223943367413,12.49129287310944
10,jian_normal,jian,normal,correlation,10,0.953925972554789,1.1702778228589004e-16,0.9681403763011,0.0014609048643106956,0.9679084846778739,0.9660779713586963,0.970619824033016
10,jian_normal,jian,normal,nrmse,10,0.31622777450703954,5.851389114294502e-17,0.2717098160528675,0.024292061932873605,0.26489985283044976,0.24039935156029577,0.3125665352878445
10,jian_normal,jian,normal,spectral_distortion_db,10,12.394496751028493,1.8724445165742407e-15,7.745872918189791,0.43454946143948897,7.665706635071803,7.039153491514366,8.54024903487378
10,jian_truck,jian,truck,snr,10,9.999999221456436,0.0,10.91594281177787,0.4694806154326515,10.808624626152767,10.30814509709415,11.581613871108784
10,jian_truck,jian,truck,correlation,10,0.9548842847170091,1.1702778228589004e-16,0.9624442137496738,0.001256746883968451,0.9622712445763236,0.9601245989020962,0.9645279848770677
10,jian_truck,jian,truck,nrmse,10,0.3162277700191872,5.851389114294502e-17,0.28984319171025585,0.015790766501072546,0.2928145641056217,0.26765474525334654,0.3102202521040829
10,jian_truck,jian,truck,spectral_distortion_db,10,10.291709487897753,1.8724445165742407e-15,7.735738342787431,0.5356212853671132,7.608331780583459,6.949826471420688,8.699569250128523
15,la_normal,la,normal,snr,10,14.99999954247597,1.8724445165742407e-15,16.206968079375425,0.30894814157800865,16.32091746334052,15.590191993262115,16.555569394313142
15,la_normal,la,normal,correlation,10,0.9847245909969512,0.0,0.9881931820801586,0.0009416205397778848,0.9884907432718704,0.9861776462104797,0.9890207070872999
15,la_normal,la,normal,nrmse,10,0.17782794738618649,2.925694557147251e-17,0.15599860438067775,0.0056575675606808816,0.15376912078968247,0.1496544510462523,0.1675354800692946
