input_snr_db,noise_type,method,denoise_model_seed,denoise_model_mean_val_snr,classifier_seed,accuracy,jian_accuracy,la_accuracy,precision,recall,f1_score,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,mean_input_snr,mean_output_snr,denoise_model_path,classifier_model_path
0,truck,noisy_directly_classified,7,6.459885107599179,100,0.8604681746449238,0.7515991471215352,0.9665109034267912,0.7997851772287863,0.9665109034267912,0.875279181850241,0.8590550252741632,2820,932,129,3723,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed100.h5
0,truck,noisy_directly_classified,7,6.459885107599179,123,0.8625723303524461,0.7643923240938166,0.9582035306334372,0.806775956284153,0.9582035306334372,0.875993829358016,0.861297927363627,2868,884,161,3691,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed123.h5
0,truck,noisy_directly_classified,7,6.459885107599179,256,0.8636244082062072,0.7603944562899787,0.9641744548286605,0.8051159765879038,0.9641744548286605,0.8774955699940933,0.8622844555593197,2853,899,138,3714,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed256.h5
0,truck,noisy_directly_classified,7,6.459885107599179,512,0.8680957390846923,0.7707889125799574,0.9628764278296988,0.8117750054716568,0.9628764278296988,0.8808930055812849,0.8668326702048281,2892,860,143,3709,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed512.h5
0,truck,noisy_directly_classified,7,6.459885107599179,2024,0.8795370857443451,0.7814498933901919,0.9750778816199377,0.8208041958041958,0.9750778816199377,0.8913146654010441,0.8782638875050648,2932,820,96,3756,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed2024.h5
5,normal,denoised_then_classified,7,9.369459245277593,7,0.9439768542872172,0.9741471215351812,0.9145898234683282,0.9732044198895028,0.9145898234683282,0.9429871520342612,0.9443684725017547,3655,97,329,3523,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed7.h5
5,normal,denoised_then_classified,7,9.369459245277593,19,0.9454234613361389,0.976545842217484,0.9151090342679128,0.9756435095488514,0.9151090342679128,0.9444072337575352,0.9458274382426983,3664,88,327,3525,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed19.h5
5,normal,denoised_then_classified,7,9.369459245277593,42,0.9371383482377696,0.9781449893390192,0.897196261682243,0.9768230638778971,0.897196261682243,0.9353179972936401,0.9376706255106311,3670,82,396,3456,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed42.h5
5,normal,denoised_then_classified,7,9.369459245277593,66,0.9475276170436613,0.9816098081023454,0.9143302180685359,0.9807852965747702,0.9143302180685359,0.9463925836356308,0.9479700130854407,3683,69,330,3522,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed66.h5
5,normal,denoised_then_classified,7,9.369459245277593,88,0.944634402945818,0.9728144989339019,0.9171858774662512,0.971939477303989,0.9171858774662512,0.943769199946574,0.9450001882000766,3650,102,319,3533,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed88.h5
